time_date,sampleID,replicate,treatment,genus,species,site,PAMID,F,Fm,Y,colonyID,collection.depth,bleaching.score,tank,rack,rack.position,size,Region,Sector,Shelf
18/01/2019,1631,1,Ambient,Pocillopora,damicornis,13-123,1309,219,693,0.684,13-123_27,7.1,5,5,23,1,Large,Northern GBR,Princess Charlotte,Mid
18/01/2019,1631,2,Ambient,Pocillopora,damicornis,13-123,1310,168,539,0.688,13-123_27,7.1,5,5,23,1,Large,Northern GBR,Princess Charlotte,Mid
18/01/2019,1633,1,Ambient,Pocillopora,damicornis,13-123,1313,213,632,0.663,13-123_26,8.3,5,5,23,3,Large,Northern GBR,Princess Charlotte,Mid
18/01/2019,1633,2,Ambient,Pocillopora,damicornis,13-123,1314,241,592,0.593,13-123_26,8.3,5,5,23,3,Large,Northern GBR,Princess Charlotte,Mid
18/01/2019,1635,1,Ambient,Pocillopora,damicornis,13-123,1317,204,635,0.679,13-123_28,6.1,5,5,23,5,Large,Northern GBR,Princess Charlotte,Mid
18/01/2019,1635,2,Ambient,Pocillopora,damicornis,13-123,1318,102,343,0.703,13-123_28,6.1,5,5,23,5,Large,Northern GBR,Princess Charlotte,Mid
18/01/2019,1637,1,Ambient,Pocillopora,damicornis,13-123,1321,84,253,0.668,13-123_11,5.3,5,5,23,7,Large,Northern GBR,Princess Charlotte,Mid
18/01/2019,1637,2,Ambient,Pocillopora,damicornis,13-123,1322,148,445,0.667,13-123_11,5.3,5,5,23,7,Large,Northern GBR,Princess Charlotte,Mid
18/01/2019,1639,1,Ambient,Pocillopora,damicornis,13-123,1325,143,438,0.674,13-123_7,4.3,5,5,23,9,Large,Northern GBR,Princess Charlotte,Mid
18/01/2019,1639,2,Ambient,Pocillopora,damicornis,13-123,1326,145,431,0.664,13-123_7,4.3,5,5,23,9,Large,Northern GBR,Princess Charlotte,Mid
18/01/2019,1559,1,Ambient,Pocillopora,damicornis,13-123,1329,222,770,0.712,13-123_25,7.5,5,5,2,1,Large,Northern GBR,Princess Charlotte,Mid
18/01/2019,1559,2,Ambient,Pocillopora,damicornis,13-123,1330,208,593,0.649,13-123_25,7.5,5,5,2,1,Large,Northern GBR,Princess Charlotte,Mid
18/01/2019,1561,1,Ambient,Pocillopora,damicornis,13-123,1333,112,387,0.711,13-123_6,4.7,5,5,2,3,Large,Northern GBR,Princess Charlotte,Mid
18/01/2019,1561,2,Ambient,Pocillopora,damicornis,13-123,1334,149,486,0.693,13-123_6,4.7,5,5,2,3,Large,Northern GBR,Princess Charlotte,Mid
18/01/2019,1563,1,Ambient,Pocillopora,damicornis,13-123,1337,160,498,0.679,13-123_9,6.2,5,5,2,5,Large,Northern GBR,Princess Charlotte,Mid
18/01/2019,1563,2,Ambient,Pocillopora,damicornis,13-123,1338,163,476,0.658,13-123_9,6.2,5,5,2,5,Large,Northern GBR,Princess Charlotte,Mid
18/01/2019,1565,1,Ambient,Pocillopora,damicornis,13-123,1341,187,592,0.684,13-123_21,5.6,5,5,2,7,Large,Northern GBR,Princess Charlotte,Mid
