SampleID,GenotypeID,Species,ClipID,RackID,Treatment,Tank,Size,Chla_ug_cm2,Zoox_ug_protein,Zoox_cm2,BeforeColour,AfterColour,ColourChange,CatalaseU,Surface,Protein_ug_cm2
1281,JAN2019_13-123_A. tenuis_29,A. tenuis,1,2,Ambient,6,Large,5.817459861,1052910.654,14049050.09,7.138906456,6.945487892,-0.193418564,0.007929789,6.307189542,0.051037205
1282,JAN2019_13-123_A. tenuis_29,A. tenuis,2,2,Ambient,6,Small,7.905130143,1950377.219,39812030.08,7.763399209,7.695874014,-0.067525195,0.086668987,5,0.054297189
1283,JAN2019_13-123_A. tenuis_1,A. tenuis,3,2,Ambient,6,Large,5.651717153,734695.929,14615294.12,6.359222661,6.221564896,-0.137657765,0.03912217,6.655518395,0.074359139
1284,JAN2019_13-123_A. tenuis_1,A. tenuis,4,2,Ambient,6,Small,4.777334037,-2016336.162,31196536.8,7.215770751,7.392561642,0.176790891,0,3.511705686,0
1285,JAN2019_13-123_A. tenuis_2,A. tenuis,5,2,Ambient,6,Large,3.902854744,932237.8082,16885223.37,6.384453228,6.257791384,-0.126661844,0.068374903,6.956521739,0.06313929
1286,JAN2019_13-123_A. tenuis_2,A. tenuis,6,2,Ambient,6,Small,2.652330273,863944.5333,14176969.7,6.762740448,6.69046831,-0.072272138,0.024846559,4.147157191,0.05440637
1287,JAN2019_13-123_A. tenuis_3,A. tenuis,7,2,Ambient,6,Large,6.956247971,1288222.407,26034843.21,7.893030303,7.098199018,-0.794831285,0.08856687,9.030100334,0.080290369
1288,JAN2019_13-123_A. tenuis_3,A. tenuis,8,2,Ambient,6,Small,3.309757036,NA,9185934.066,6.834611331,6.255364333,-0.579246997,NA,2.909698997,NA
1289,JAN2019_13-123_A. tenuis_4,A. tenuis,9,2,Ambient,6,Large,NA,NA,NA,7.247918314,7.069364002,-0.178554311,NA,NA,NA
1290,JAN2019_13-123_A. tenuis_4,A. tenuis,10,2,Ambient,6,Small,6.023575027,NA,27733333.33,7.294953887,7.309793701,0.014839814,NA,3.745819398,NA
1291,JAN2019_13-123_A. tenuis_5,A. tenuis,1,3,Ambient,7,Large,5.409831166,570554.4703,22285714.29,7.576561265,7.233258867,-0.343302398,0.009692616,9.030100334,0.121114154
1292,JAN2019_13-123_A. tenuis_5,A. tenuis,2,3,Ambient,7,Small,6.728653185,1349918.705,15355775.58,7.36685112,7.088435656,-0.278415464,0.023533185,3.578595318,0.040131273
1293,JAN2019_13-123_A. tenuis_22,A. tenuis,3,3,Ambient,7,Large,5.425927254,847400.0775,18620289.86,7.369762846,7.214573336,-0.15518951,0.061788296,9.803921569,0.077324515
1294,JAN2019_13-123_A. tenuis_22,A. tenuis,4,3,Ambient,7,Small,6.687761901,-560314.6259,4596491.228,7.241936759,7.228501296,-0.013435463,0,2.20735786,0
1295,JAN2019_13-123_A. tenuis_23,A. tenuis,5,3,Ambient,7,Large,3.220990567,828853.9964,11277972.71,7.039749671,7.021650394,-0.018099276,0.028801799,7.391304348,0.039349393
1296,JAN2019_13-123_A. tenuis_23,A. tenuis,6,3,Ambient,7,Small,4.307993986,-2251141.117,11712857.14,5.992384717,6.373462408,0.381077692,0,2.385620915,0
1297,JAN2019_13-123_A. tenuis_24,A. tenuis,7,3,Ambient,7,Large,4.33266127,643727.1612,12135924.17,7.112648221,6.331306194,-0.781342027,0.015087963,7.254901961,0.067691932
1298,JAN2019_13-123_A. tenuis_24,A. tenuis,8,3,Ambient,7,Small,6.320359877,326987.8963,15500655.74,8.217167325,7.625268906,-0.591898419,0.014025011,4.715719064,0.151406765
1299,JAN2019_13-123_A. tenuis_5,A. tenuis,1,5,Ambient,6,Large,3.796610455,325559.9457,6628316.611,6.698774704,6.530834574,-0.167940129,0.029320428,9.509803922,0.080016936
1300,JAN2019_13-123_A. tenuis_5,A. tenuis,2,5,Ambient,6,Small,4.355948373,-9092988.06,17784473.68,7.124110672,7.083347123,-0.040763549,0,3.244147157,0
1301,JAN2019_13-123_A. tenuis_22,A. tenuis,3,5,Ambient,6,Large,5.690178201,517671.0535,14656093.98,6.935783926,6.910185338,-0.025598588,0.02442622,7.892976589,0.10177929
1302,JAN2019_13-123_A. tenuis_22,A. tenuis,4,5,Ambient,6,Small,8.342757057,-1046081.288,18374193.55,6.931857708,7.10090187,0.169044162,0,1.939799331,0
1303,JAN2019_13-123_A. tenuis_23,A. tenuis,5,5,Ambient,6,Large,4.321622539,308924.4863,8771764.706,6.299314888,6.280324342,-0.018990546,0.038680754,6.321070234,0.09545594
1304,JAN2019_13-123_A. tenuis_23,A. tenuis,6,5,Ambient,6,Small,3.252234854,1668454.785,21720261.44,6.205177866,6.404641734,0.199463869,0.056758993,2.775919732,0.029896744
1305,JAN2019_13-123_A. tenuis_24,A. tenuis,7,5,Ambient,6,Large,4.10922688,571329.2996,13232136.75,6.32140975,5.884604777,-0.436804973,0.018542332,8.169934641,0.080895974
1306,JAN2019_13-123_A. tenuis_24,A. tenuis,8,5,Ambient,6,Small,4.365659536,-684671.1864,18998518.52,6.840988142,5.665990954,-1.174997189,0,2.37458194,0
