SampleID,UniqueID,GenotypeID,Reef,BagID,Species,ClipID,RackID,Treatment,Chla_ug_cm2,Colour Change,CatalaseU,Protein_ug_cm2,FvFm
1432,S1396,JAN2019_Creech_A. tenuis_81,Creech,81,A. tenuis,1,18,Ambient,4.733611175,0.452793943,0,0,0.702758496
1330,S1296,JAN2019_13-123_A. tenuis_24,13-123,24,A. tenuis,8,16,Ambient,5.775261718,-0.782566739,0,0,0.66867404
1302,S1268,JAN2019_13-123_A. tenuis_22,13-123,22,A. tenuis,4,5,Ambient,8.342757057,0.169044162,0,0,0.654470802
1306,S1272,JAN2019_13-123_A. tenuis_24,13-123,24,A. tenuis,8,5,Ambient,4.365659536,-1.174997189,0,0,0.643867022
1538,S1502,JAN2019_Creech_A. tenuis_105,Creech,105,A. tenuis,5,63,Ambient,2.797281027,0.417943956,0,0,0.706168831
1328,S1294,JAN2019_13-123_A. tenuis_23,13-123,23,A. tenuis,6,16,Ambient,4.671927072,-0.025425816,0,0,0.661163004
1327,S1293,JAN2019_13-123_A. tenuis_23,13-123,23,A. tenuis,5,16,Ambient,3.58208307,-0.088992403,0,0,0.643893331
1284,S1250,JAN2019_13-123_A. tenuis_1,13-123,1,A. tenuis,4,2,Ambient,4.777334037,0.176790891,0,0,0.681472655
1294,S1260,JAN2019_13-123_A. tenuis_22,13-123,22,A. tenuis,4,3,Ambient,6.687761901,-0.013435463,0,0,0.656271518
1296,S1262,JAN2019_13-123_A. tenuis_23,13-123,23,A. tenuis,6,3,Ambient,4.307993986,0.381077692,0,0,0.662162396
1326,S1292,JAN2019_13-123_A. tenuis_22,13-123,22,A. tenuis,4,16,Ambient,6.00978732,0.0252412,0,0,0.662167524
1300,S1266,JAN2019_13-123_A. tenuis_5,13-123,5,A. tenuis,2,5,Ambient,4.355948373,-0.040763549,0,0,0.680067937
1359,S1325,JAN2019_13-123_A. tenuis_29,13-123,29,A. tenuis,1,26,Ambient,7.54886505,-0.257511859,1.03776413,0.000531172,0.648804802
1781,S1737,JAN2019_Lagoon_A. tenuis_33,Lagoon,33,A. tenuis,4,62,Ambient,3.397248973,-0.913828,1.008974769,0.002544167,0.645366327
2239,S2151,JAN2019_11-049_A. tenuis_27,11-049,27,A. tenuis,4,9,Ambient,2.829862554,0.068487,0.610377234,0.006268397,0.646846688
1541,S1505,JAN2019_Creech_A. tenuis_117,Creech,117,A. tenuis,3,64,Ambient,0.595641359,-0.468008281,0.085758801,0.007482657,0.655984355
1342,S1308,JAN2019_13-123_A. tenuis_1,13-123,1,A. tenuis,4,21,Ambient,4.610547592,-0.11515905,0.138233505,0.008122793,0.685618293
1413,S1377,JAN2019_Creech_A. tenuis_117,Creech,117,A. tenuis,3,9,Ambient,2.470842736,-0.383328421,0.077079051,0.008672914,0.66093233
1426,S1390,JAN2019_Creech_A. tenuis_117,Creech,117,A. tenuis,3,12,Ambient,0.844774818,-0.483655203,0.070788563,0.009417717,0.648608997
1670,S1771,JAN2019_Lagoon_A. tenuis_1,Lagoon,1,A. tenuis,5,14,Ambient,2.061530041,-0.430734,0.127344369,0.012212853,0.664863642
1425,S1389,JAN2019_Creech_A. tenuis_112,Creech,112,A. tenuis,2,12,Ambient,2.876957555,-0.496724439,0.048800736,0.019027816,0.687387178
1361,S1327,JAN2019_13-123_A. tenuis_1,13-123,1,A. tenuis,3,26,Ambient,3.441427926,-0.302004294,1.718604287,0.020302133,0.666653662
969,S973,JAN2019_13-124_A. tenuis_174,13-124,174,A. tenuis,4,B4,Ambient,3.721201828,-0.74935,0.070607926,0.020857818,0.693718615
1344,S1310,JAN2019_13-123_A. tenuis_2,13-123,2,A. tenuis,6,21,Ambient,2.649325777,-0.224235395,0.211952683,0.022017043,0.663534609
1436,S1400,JAN2019_Creech_A. tenuis_105,Creech,105,A. tenuis,5,18,Ambient,2.853399516,0.515795396,0.06627455,0.026354611,0.694962043
1409,S1373,JAN2019_Creech_A. tenuis_117,Creech,117,A. tenuis,3,8,Ambient,0.593932897,-0.429578529,0.060500439,0.026446089,0.639455206
1078,S994,JAN2019_13-124_A. tenuis_193,13-124,193,A. tenuis,5,B48,Ambient,4.559631746,-0.96736,0.043913236,0.026498534,0.664209613
