ID,Genotype,TimePoint,Colour_percent_change,Chla_percent_change,Catalase_percent_change,Zoox_percent_change,Prot_percent_change
1,67,Before,0.609238919,NA,NA,NA,NA
2,67,T0,-5.260657527,13.87026434,80.97874648,73.97484676,7.48845032
3,67,T1,-7.119217298,-12.44374412,-100,-67.48117855,-100
4,67,T2,-10.28272624,-32.52101867,NA,42.9637639,NA
5,67,T3,-22.91710063,-56.34509911,129.4306612,-45.61142312,-85.78286321
6,67,T4,-43.16473429,-82.44221948,-100,-71.32936508,-100
7,67,T5,-49.62010005,-96.03704202,-100,-86.66947974,-100
8,67,T6,-63.70600794,-95.94884535,-100,-98.15493262,-100
9,81,Before,-0.849217559,NA,NA,NA,NA
10,81,T0,-11.67531402,-13.66085803,24.09884168,-0.433434398,-43.37677243
11,81,T1,-20.20192191,-92.23015988,-74.10915933,-84.17311346,-100
12,81,T2,-26.71025206,NA,NA,NA,NA
13,81,T3,-32.65576229,-83.01341148,NA,-93.12653284,NA
14,81,T4,-43.06193812,-13.73438999,34.66718553,-35.4008466,-61.08449367
15,81,T5,-46.87910646,-72.01703638,-92.47605689,-87.79379174,-100
16,81,T6,-67.15508705,-94.27120266,-100,-99.02211957,-100
17,83,Before,0.457083382,NA,NA,NA,NA
18,83,T0,-5.419434449,-27.46333261,33.85589484,-47.48860117,-38.56564546
19,83,T1,-7.278949263,-78.80137315,-5.880931361,-70.91868091,-95.93322109
20,83,T2,-7.254160424,-3.491940273,204.5213966,-4.479543457,-39.6446007
21,83,T3,-15.54566849,-19.9456068,73.35181591,-62.6303353,3.010993932
22,83,T4,-28.93589504,NA,NA,NA,NA
23,83,T5,-32.1306826,NA,NA,NA,NA
24,83,T6,-35.44827502,-70.5727802,927.3955095,-72.70624774,-67.29597323
25,90,Before,-0.799049194,NA,NA,NA,NA
26,90,T0,-6.911104887,38.86031133,-58.47773695,135.9134924,21.80178397
27,90,T1,-9.432298109,-22.59737494,-70.95155258,-26.72448008,31.48513748
28,90,T2,-8.730870305,-52.85711148,154.1253724,-62.12880741,-27.92987247
29,90,T3,-14.78465563,-18.67268466,-17.45351812,-38.67291595,-53.07559786
30,90,T4,-22.8588856,-40.7302088,-100,-58.19950029,-100
31,90,T5,-32.13531635,-73.58785042,-100,-76.8178782,-100
32,90,T6,-43.42091457,-68.79195652,-100,-46.25174015,-100
33,91,Before,-3.411485469,NA,NA,NA,NA
34,91,T0,-13.82932857,-58.45208661,-29.11860202,-34.53300219,-34.91294338
35,91,T1,-16.50379263,-10.08171118,-82.53901895,-29.00991199,43.90694446
36,91,T2,-28.04825093,-83.57917076,-24.49371116,-95.52655266,-57.77830112
37,91,T3,-29.77327927,-86.19866642,1.62600065,-73.54122379,-74.44155452
38,91,T4,-32.49742645,-90.65468356,-100,-94.41100401,-100
39,91,T5,-33.29517457,-68.4983895,-14.03071385,-65.55151755,32.9412092
40,91,T6,-43.37986958,-83.93700867,-68.88585767,-87.72357356,-100
41,105,Before,-7.195291455,NA,NA,NA,NA
42,105,T0,-32.23732423,-92.1856518,894.7133158,-73.21640776,-71.32401135
43,105,T1,-30.34879654,NA,NA,NA,NA
44,105,T2,-36.20269946,-45.76972697,-4.747587881,-69.96411483,-32.07286697
45,105,T3,-39.19099843,-69.30308796,NA,-11.45593955,NA
46,105,T4,-47.7259527,-41.1824816,8.315138687,13.30158272,-54.09322126
47,105,T5,-53.17223463,-93.14877114,-100,-94.81314317,-100
48,105,T6,-60.26974496,-95.17533776,-100,-89.72104657,-100
49,108,Before,1.246294365,NA,NA,NA,NA
50,108,T0,-15.54211114,-30.19428019,-71.92463429,-30.49285475,-26.20331244
51,108,T1,-23.42166444,-32.62114301,-28.17441372,-45.4888763,-3.435435608
52,108,T2,-30.51598922,-84.62317267,277.1501303,-89.51050353,-100
53,108,T3,-31.48969098,-90.67729713,103.4715602,-88.58621917,-92.14165709
54,108,T4,-36.99401129,-82.01026627,1262.791332,-84.94838052,-93.39063907
55,108,T5,-41.70095237,-94.27854156,-100,-98.3534102,-100
56,108,T6,-36.25301652,-63.00944799,-26.49859946,-77.9490803,-100
57,112,Before,-0.829061559,NA,NA,NA,NA
58,112,T0,-7.147826303,NA,NA,NA,NA
59,112,T1,-10.39600401,NA,NA,NA,NA
60,112,T2,-8.818579319,-47.17084884,126.5047149,-27.52031741,3.984099854
61,112,T3,-18.21656009,-96.45936891,1896.010434,-99.34118442,-98.88666803
62,112,T4,-19.30032095,-47.12131109,-100,-63.1242638,-83.07185567
63,112,T5,-34.60927799,-30.41069114,-100,-22.367428,-100
64,112,T6,-50.48933371,-65.58508052,-100,-93.26719748,-100
65,117,Before,11.6030755,NA,NA,NA,NA
66,117,T0,-1.525813423,NA,NA,NA,NA
67,117,T1,-5.600681476,137.7595478,NA,-38.19839913,NA
68,117,T2,-13.94351137,-65.21191091,-46.61514761,-74.502381,-100
69,117,T3,-23.27653662,-67.62522157,-100,-34.66610309,-100
70,117,T4,-37.90197893,-77.46274865,2.553689453,14.85878755,52.20562578
71,117,T5,-42.59681306,-89.20922108,-100,-94.17458164,-100
72,117,T6,-30.0618781,-66.79023277,-100,-84.02327835,-100
