ID,colonyID,time,control,high,diff,by control,percent
1,JAN2019_Creech_A. tenuis_105,T0,0.653879251,0.503968634,-0.149910617,-0.229263456,-22.92634557
2,JAN2019_Creech_A. tenuis_105,T1,0.710657903,0.638451718,-0.072206184,-0.101604702,-10.1604702
3,JAN2019_Creech_A. tenuis_105,T2,0.696312742,0.62823737,-0.068075373,-0.097765513,-9.776551329
4,JAN2019_Creech_A. tenuis_105,T3,0.692736767,0.647524265,-0.045212501,-0.065266496,-6.526649605
5,JAN2019_Creech_A. tenuis_105,T4,0.700782389,0.629641046,-0.071141343,-0.101517025,-10.15170251
6,JAN2019_Creech_A. tenuis_105,T5,0.69305832,0.590451171,-0.102607149,-0.148049804,-14.80498042
7,JAN2019_Creech_A. tenuis_105,T6,0.726241829,0.300246904,-0.425994926,-0.586574483,-58.65744833
8,JAN2019_Creech_A. tenuis_108,T0,0.646091674,0.684059568,0.037967894,0.05876549,5.876549045
9,JAN2019_Creech_A. tenuis_108,T1,0.711273862,0.680119954,-0.031153909,-0.04380016,-4.380015969
10,JAN2019_Creech_A. tenuis_108,T2,0.655482828,0.629416101,-0.026066727,-0.039767215,-3.976721548
11,JAN2019_Creech_A. tenuis_108,T3,0.653479889,0.629502844,-0.023977045,-0.036691328,-3.669132765
12,JAN2019_Creech_A. tenuis_108,T4,0.662716854,0.636801258,-0.025915596,-0.039105081,-3.910508118
13,JAN2019_Creech_A. tenuis_108,T5,0.665326681,0.620188227,-0.045138454,-0.067844046,-6.784404622
14,JAN2019_Creech_A. tenuis_108,T6,0.711451696,0.573221031,-0.138230665,-0.194293816,-19.42938163
15,JAN2019_Creech_A. tenuis_112,T0,0.61728928,0.635038237,0.017748957,0.028753062,2.875306211
16,JAN2019_Creech_A. tenuis_112,T1,0.705450409,0.668675316,-0.036775093,-0.052129948,-5.212994761
17,JAN2019_Creech_A. tenuis_112,T2,0.668146181,0.652061144,-0.016085038,-0.02407413,-2.407412964
18,JAN2019_Creech_A. tenuis_112,T3,0.674984043,0.668765202,-0.006218841,-0.009213315,-0.921331532
19,JAN2019_Creech_A. tenuis_112,T4,0.66801829,0.645320685,-0.022697605,-0.03397752,-3.397751981
20,JAN2019_Creech_A. tenuis_112,T5,0.693412871,0.637851441,-0.05556143,-0.080127486,-8.012748629
21,JAN2019_Creech_A. tenuis_112,T6,0.716182567,0.394793932,-0.321388635,-0.448752385,-44.87523851
22,JAN2019_Creech_A. tenuis_117,T0,0.599277669,0.55690644,-0.042371229,-0.070703834,-7.070383407
23,JAN2019_Creech_A. tenuis_117,T1,0.69406864,0.585885662,-0.108182978,-0.155867838,-15.58678377
24,JAN2019_Creech_A. tenuis_117,T2,0.653892979,0.586188789,-0.06770419,-0.10354017,-10.35401701
